rowname	EA033	Settlement_date_grouping_finer	environ_PC1	environ_PC2	Shoreline	mean_posterior_predict_nd
1	1	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2654751411934957
2	1	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2369433424473095
3	1	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2298692835982434
4	1	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2260776467113768
5	1	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2282082450427718
6	1	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2350051648546387
7	1	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.234030807345154
8	1	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2349746826912837
9	1	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2038921130977347
10	1	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.203532797080376
11	1	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.1863637643755685
12	2	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.0183805620953463
13	2	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.993545096589057
14	2	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9860369926721588
15	2	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9808945802238906
16	2	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9808661765550422
17	2	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9844216153724294
18	2	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9822478369767692
19	2	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9818704669506285
20	2	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9572667122571211
21	2	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9564100304612381
22	2	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9429052360741976
23	3	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8955857418804729
24	3	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8722685703136313
25	3	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8637414382966093
26	3	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8572895969083958
27	3	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8556000519201169
28	3	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.857000350290412
29	3	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8537881159891323
30	3	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8522947771832696
31	3	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8294729992382126
32	3	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8276672526618403
33	3	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8150672276676765
34	4	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	48.45451193864202
35	4	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	47.48579524253158
36	4	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	47.181094726311684
37	4	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	46.572353495984025
38	4	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	46.85495177321684
39	4	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	49.494649501826025
40	4	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	49.20022791784408
41	4	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	51.1418582315905
42	4	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	46.745832963394584
43	4	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	49.62544873410769
44	4	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	49.08704750168909
