variable	Vanuatu + Temotu	Laguas_yan_gani
mean_Rhat	1.0000475570162024	1.0000777135159649
mean_Bulk_ESS	82423.74256286383	75576.68293681642
mean_Tail_ESS	75721.69201995092	70363.40760245977
diff_predicted_vs_observed	1.1892545454545456	1.6318363636363638
dropped_observation_prediction	5.872	109.3203
dropped_observation_prediction_diff	124.128	106.3203
b_Intercept_mean	-1.6990179809093275	3.6245906371448275
b_EA033_mean	0.4285752075284075	-4.377422237931034
b_Carrying_capactiy_PC1:Shoreline_mean	-0.9472345104745862	-1.223376190518931
b_Shoreline:Carrying_capactiy_PC2_mean	0.4345107014408086	0.01630833743478707
b_Shoreline:Settlement_date_grouping_finer_mean	1.3514590937758622	2.7419494555172412
b_Intercept_sd	0.903583573619605	0.8781162491312553
b_EA033_sd	0.4862114435347674	0.26814737702320757
b_Carrying_capactiy_PC1:Shoreline_sd	0.4246422732264116	0.41500926171674607
b_Shoreline:Carrying_capactiy_PC2_sd	0.4385043033284142	0.3350111935721461
b_Shoreline:Settlement_date_grouping_finer_sd	0.29398366956632394	0.2203072285723909
b_Intercept_min	-5.65661	-0.463339
b_EA033_min	-1.53706	-5.61393
b_Carrying_capactiy_PC1:Shoreline_min	-2.77546	-3.10719
b_Shoreline:Carrying_capactiy_PC2_min	-1.4382	-1.48599
b_Shoreline:Settlement_date_grouping_finer_min	0.18122	1.90814
b_Intercept_max	2.23257	7.15771
b_EA033_max	2.41781	-3.24342
b_Carrying_capactiy_PC1:Shoreline_max	0.81392	0.564292
b_Shoreline:Carrying_capactiy_PC2_max	2.08161	1.36104
b_Shoreline:Settlement_date_grouping_finer_max	2.65374	3.69901
dropped_observation_prediction_mean	5.872	109.3203
dropped_observation_prediction_diff_mean	124.128	106.3203
