rowname	EA033	Settlement_date_grouping_finer	environ_PC1	environ_PC2	environ_PC3	Shoreline	mean_posterior_predict_nd
1	1	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.7960612851199842
2	1	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.0206705198976254
3	1	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.2567156927670995
4	1	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.570280022312633
5	1	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.905292076681629
6	1	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	3.2825095925677403
7	1	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	3.688005383097217
8	1	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	4.1193818688709944
9	1	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	4.700129441064801
10	1	11	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	5.536944129466506
11	1	12	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	5.921837307680208
12	2	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.5153527229464575
13	2	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.5808237343476931
14	2	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.6491619947380005
15	2	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.7414138775795125
16	2	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.8395430118504866
17	2	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.9505201260792825
18	2	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.0704901803153988
19	2	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.1994325546942863
20	2	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.3769777870007647
21	2	11	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.6365934632624035
22	2	12	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.7521881281305576
23	3	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.3827924701663258
24	3	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.4311045104346453
25	3	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.48120147326227525
26	3	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.5484357316231828
27	3	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.6202459486372196
28	3	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.7013188602167909
29	3	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.7894841334641243
30	3	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.8838055965863971
31	3	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.0138908789238668
32	3	11	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.2051217164125543
33	3	12	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.2902829138884215
34	4	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.24187394149596864
35	4	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.27231159352485634
36	4	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.30384511929258196
37	4	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.34632639710499885
38	4	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.39189761536980394
39	4	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.4431326997632263
40	4	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.4990917027844705
41	4	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.5592308767483027
42	4	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.6421188510295288
43	4	11	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.7639210087010292
44	4	12	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.8178513849480891
